pergunta_normalizada,cod_2023_2024,header_2023_2024,cod_2024_2025,header_2024_2025,cod_2025_2026,header_2025_2026,codigo_estavel
utilizo_api_s_para_extrair_dados_e_complementar_minhas_analises,7.a.4,"('P7_a_4 ', 'Utilizo API's para extrair dados e complementar minhas análises.')",7.a.4,7.a.4_Utilizo API\s para extrair dados e complementar minhas análises.,7.a.4,7.a.4_Utilizo API\s para extrair dados e complementar minhas análises.,sim
utilizo_cadeias_de_markov_ou_hmm_s_para_realizar_analises_de_dados,8.b.7,"('P8_b_7 ', 'Utilizo cadeias de Markov ou HMM's para realizar análises de dados')",8.b.7,8.b.7_Utilizo cadeias de Markov ou HMM\s para realizar análises de dados.,8.b.7,8.b.7_Utilizo cadeias de Markov ou HMM\s para realizar análises de dados.,sim
utilizo_llm_s_para_solucionar_problemas_de_negocio,8.b.14,"('P8_b_14 ', 'Utilizo LLM's para solucionar problemas de negócio')",8.b.14,8.b.14_Utilizo LLM's para solucionar problemas de negócio.,8.b.14,8.b.14_Utilizo LLM's para solucionar problemas de negócio.,sim
utilizo_metodos_de_visao_computacional,8.b.12,"('P8_b_12 ', 'Utilizo métodos de Visão Computacional')",8.b.12,8.b.12_Utilizo métodos de Visão Computacional.,8.b.12,8.b.12_Utilizo métodos de Visão Computacional.,sim
utilizo_metodos_estatisticos_bayesianos_para_analisar_dados,8.b.4,"('P8_b_4 ', 'Utilizo métodos estatísticos Bayesianos para analisar dados')",8.b.4,8.b.4_Utilizo métodos estatísticos Bayesianos para analisar dados.,8.b.4,8.b.4_Utilizo métodos estatísticos Bayesianos para analisar dados.,sim
utilizo_metodos_estatisticos_classicos_testes_de_hipotese_analise_multivariada_sobrevivencia_dados_longitudinais_inferencia_estatistica_para_analisar_dados,8.b.6,"('P8_b_6 ', 'Utilizo métodos estatísticos clássicos (Testes de hipótese, análise multivariada, sobrevivência, dados longitudinais, inferência estatistica) para analisar dados')",8.b.6,"8.b.6_Utilizo métodos estatísticos clássicos (Testes de hipótese, análise multivariada, sobrevivência, dados longitudinais, inferência estatistica) para analisar dados.",8.b.6,"8.b.6_Utilizo métodos estatísticos clássicos (Testes de hipótese, análise multivariada, sobrevivência, dados longitudinais, inferência estatistica) para analisar dados.",sim
utilizo_modelos_de_deteccao_de_churn,8.b.13,"('P8_b_13 ', 'Utilizo modelos de Detecção de Churn')",8.b.13,8.b.13_Utilizo modelos de Detecção de Churn.,8.b.13,8.b.13_Utilizo modelos de Detecção de Churn.,sim
utilizo_modelos_de_machine_learning_para_deteccao_de_fraude,8.b.11,"('P8_b_11 ', 'Utilizo modelos de Machine Learning para detecção de fraude')",8.b.11,8.b.11_Utilizo modelos de Machine Learning para detecção de fraude.,8.b.11,8.b.11_Utilizo modelos de Machine Learning para detecção de fraude.,sim
utilizo_modelos_de_regressao_linear_logistica_glm,8.b.1,"('P8_b_1 ', 'Utilizo modelos de regressão (linear, logística, GLM)')",8.b.1,"8.b.1_Utilizo modelos de regressão (linear, logística, GLM).",8.b.1,"8.b.1_Utilizo modelos de regressão (linear, logística, GLM).",sim
utilizo_modelos_de_reinforcement_learning_aprendizado_por_reforco,8.b.10,"('P8_b_10 ', 'Utilizo modelos de Reinforcement Learning (aprendizado por reforço)')",8.b.10,8.b.10_Utilizo modelos de Reinforcement Learning (aprendizado por reforço).,8.b.10,8.b.10_Utilizo modelos de Reinforcement Learning (aprendizado por reforço).,sim
utilizo_redes_neurais_ou_modelos_baseados_em_arvore_para_criar_modelos_de_classificacao,8.b.2,"('P8_b_2 ', 'Utilizo redes neurais ou modelos baseados em árvore para criar modelos de classificação')",8.b.2,8.b.2_Utilizo redes neurais ou modelos baseados em árvore para criar modelos de classificação.,8.b.2,8.b.2_Utilizo redes neurais ou modelos baseados em árvore para criar modelos de classificação.,sim
utilizo_tecnicas_de_nlp_natural_language_processing_para_analisar_dados_nao_estruturados,8.b.5,"('P8_b_5 ', 'Utilizo técnicas de NLP (Natural Language Processing) para análisar dados não-estruturados')",8.b.5,8.b.5_Utilizo técnicas de NLP (Natural Language Processing) para análisar dados não-estruturados.,8.b.5,8.b.5_Utilizo técnicas de NLP (Natural Language Processing) para análisar dados não-estruturados.,sim
velocidade_de_progressao_de_carreira,1.f.5,"('P1_f_5', 'Velocidade de progressão de carreira')",1.f.5,1.f.5_Velocidade de progressão de carreira,1.f.5,1.f.5_Velocidade de progressão de carreira,sim
vertica,4.g.19,"('P4_g_19 ', 'Vertica')",4.g.19,4.g.19_Vertica,4.d.19,4.d.19_Vertica,NAO
videos,4.b.5,"('P4_b_5 ', 'Vídeos')",4.b.5,4.b.5_Vídeos,4.b.5,4.b.5_Vídeos,sim
visual_basic_vba,4.d.9,"('P4_d_9 ', 'Visual Basic/VBA')",4.d.9,4.d.9_Visual Basic/VBA,4.c.6,4.c.6_Visual Basic/VBA,NAO
vive_no_brasil,1.g,"('P1_g ', 'vive_no_brasil')",1.g,1.g_vive_no_brasil,1.g,1.g_vive_no_brasil,sim
